,PERGUNTA,Corretude_score,Fluencia_score
0,Por que temos tão pouco conteúdo em pt-br sobre FPGA/SoC?,0.7610675996379632,0.8946596666245483
1,Como posso somar valores únicos de uma coluna em uma base de dados no Data Studio?,0.3673500082719084,0.7831843854488448
2,como criar uma pcb,0.7401807997551618,0.8835483543247966
3,Onde encontro cursos bons e gratuitos? (Sem ser na enap),0.8042020328261685,0.844560154395998
4,Preciso de um texto tipo capítulo de livro sobre como escrever um resumo de tcc,0.5906960399128963,0.8731058578630005
5,Como começar minha carreira de programação?,0.5943221119061837,0.8851952805727255
6,"como lidar com as loucuras de arquivos pdf, engenharia de dados/extração de dados/integração",0.4719090839863512,0.8679178699175394
7,"Tenho um conjunto de 4 pontos (coordenadas x e y), que formula do excel poderia usar para encontrar o 3º ponto desse conjunto, dado que tenho a inclinação da reta que interpola esses 4 pontos, os 2 primeiros e o último é igual ao terceiro?",0.4309124730819063,0.6016621008492893
8,Growth marketing Hacker para jóias e moda feminina dados para os próximos anos,0.4554114836373494,0.8851952805727252
9,Como lidar com o aumento constante do escopo do projeto?,0.6021171554475818,0.8562176500885798
10,Como escolher e aguentar a faculdade visando apenas mercado de trabalho e concurso?,0.7415867699349027,0.8622459331201855
11,Como começar a estudar sistemas embarcados,0.6675230220809021,0.85621765008858
12,Estou estudando matemática para o Enem. Me faça uma lista dos principais assuntos que devo estudar em ordem de prioridade,0.44528999968356775,0.6184449725496985
13,"se tivermos que resumir um único valor para uma distribuição de MonteCarlo, qual seria o melhor? A média ou o ""mais provável""?",0.46021963273867916,0.8835483541199789
14,COMO UTILIZAR A FUNÇÃO SUBSTITUIR EM EXCEL,0.5126865291857047,0.8679178712162946
15,"Eu trabalho em uma empresa chamada nerraW. Preciso fazer um review no glassdoor e gostaria de ajuda na elaboração do mesmo. Nesta empresa a cultura é boa, tecnologia muito ruim e sinto o discurso da liderança diferente do que é praticado no dia a dia. ",0.7912807170336165,0.8090205884569814
16,"Redação sobre Trabalhos de casa. Para que servem, e quais são as vantagens e desvantagens ",0.3256723260768878,0.8880797087365041
17,2 / 2Como monitorar uma plantação de longo alcance?,0.8039428040876103,0.840733340004593
18,como validar com sql se os dados da tabela A estão em B,0.48342642588842005,0.8075751088705074
19,"2 / 2Como posso construir confiança e credibilidade com potenciais clientes nas redes sociais, antes de fazer uma oferta de alto valor?",0.7083898129527647,0.8798186782540318
20,Como fazer pra orientar/co-orientar monografias?,0.29567080393270523,0.6002454182785316
21,Como cobrar pela análise estatística?,0.667736731889216,0.85
22,Quando é a hora de pedir aumento?,0.6937041700358856,0.8201813217459681
23,Dev só arranja emprego se tiver contatos?,0.6652024514566974,0.8622459331201855
24,Como conseguir clientes para meus trabalhos?,0.7424907910078659,0.8817574480638554
25,Qual o cargo entre o Gerente de Tecnologia e o Analista Senior de Tecnologia? Considere uma empresa multinacional farmacêutica e não uma empresa cujo core seja tecnologia para pensar na organização da área de Tech,0.9595985166625397,0.8867035759802171
26,Como construir um portfolio pra ser aceito no mestrado?,0.7684254221767304,0.8348645142101807
27,2 / 2me ajude a planejar um projeto com arduino para coleta de dados em uma solução em nuvem afim de fazer analise de dados,0.6420426455987918,0.8651354871433915
28,"PJ, CLT e concurso público: como ponderar os prós e os contras?",0.5205962199487717,0.8377540668798146
29,Como posso iniciar trabalhando com suporte tecnico?,0.7552457772406255,0.8562176500885798
30,"Por que os discos rígidos da IBM em 1956 eram muito pesados e hoje temos cartões de memória com capacidade muito superior, mesmo sendo fisicamente pequenos?",0.07224326888883593,0.85621765008858
31,Quais estratégias usam para compreender código legado?,0.5101500794332703,0.8867035747777032
32,Aja como um especialista em marketing digital. Dê ideias de vídeos curtos sobre contabilidade.,0.9105243218325162,0.8194223748721436
33,Quero trabalhar em banco oq eu faço?,0.7016249460076129,0.8893309407474546
34,Como atuar em Saúde Pública ?,0.47400869057637285,0.6334660940094048
35,Quais ações educativas seriam adequadas para centros municipais de educação infantil  ?,0.43458332683802714,0.8993660869080182
36,Pessoas que NAO trabalham em empregos home office pretende mudar de área só para conseguir trabalhar home?,0.7858576377430972,0.7916081045772144
37,voce consegui me apresentar um projeto de otimizaçao de processo em um estoque de peças de carro ?,0.6332885247432187,0.8924141821545698
38,Posso reutilizar texto do pré-projeto no próprio TCC?,0.7895942437577221,0.8437823499114201
39,Em quais casos preciso devolver a bolsa PIBIC?,0.572647487398832,0.8562176500885798
40,Como iniciar na área de análise de dados ?,0.7203052840708042,0.895791227013191
41,Oi eu gostaria de saber como posso melhorar meu foco em realizar tarefas de trabalho,0.845070058903544,0.8499999999999999
42,O que significa educar e quais as estratégias para atrair os pais a escola,0.5155431421300614,0.8835483535055261
43,como eu faço para trabalhar com a inteligência artificial?,0.0,0.890465054217028
44,Como falar melhor em público sem perder as ideias,0.6084517497498534,0.85
45,O que poderia ocorrer a economia mundial se deixasse de existir bolsa de valores e ações de empresas?,0.4640726538650622,0.8867035752930665
46,"Aplicação PDV para mercado com C# / .NET Qual o padrão do mercado para a UI, ainda é Windows Forms ? Você me indica outra opção ?",0.7800473087488584,0.8562176500885798
47,"Saindo da vida acadêmica e tentando o mercado, como começar?",0.47350436132111245,0.8982013787998147
48,quero criar uma pesquisa onde as respostas serão sim ou não e plotar o resultado em um gráfico de pizza. Como posso fazer isso?,0.6576052888105466,0.8132452715300997
49,O que posso fazer pra entrar no mestrado?,0.5279847477886933,0.8867035771827307
50,quais são os públicos alvos para vender plano odontológico,0.5853000957950641,0.3361595775681189
51,Como lidar com um fim de contrato?,0.26754732341257503,0.8679178686187841
52,Como otimizar buscas por chamadas em aberto para publicação em revista?,0.015737180163524406,0.8651354871433915
53,"Estudante de engenharia elétrica que vai se formar desempregado, qual é a saída?",0.4981341110103593,0.8973649249557774
54,Como virar dev autônomo?,0.2901775933034033,0.8798186770538576
55,"Dá certo fazer IC, estudar noturno e trabalhar ao mesmo tempo?",0.7920436246724766,0.859266659995407
56,1 / 2Como monitorar uma plantação de longo alcance?,0.8123694723975428,0.8622459331201856
57,Tem alguma ferramenta online que facilita encontrar empresas privadas locais com dados específicos?,0.7871484442816543,0.8705785034025538
58,1° ano do ensino médio. O que devo aprender pra me preparar pro mercado de trabalho?,0.22080063086061713,0.8
59,Como organizar e planejar os estudos?,0.3330315164270146,0.8004768331146795
60,Gere anúncios atraentes para suas campanhas do Google para empresa de moda intima,0.26917445978674753,0.8754914981353652
61,Com as APIs do ChatGPT eu consigo criar um bot que se conecta com o inventário da loja e sugere produtos para o cliente segundo a sua necessidade?,0.8498832598856352,0.8437823499114202
62,Desejo criar uma landing page para vender meu curso pela internet. Como eu faço isso?,0.6400995077476421,0.8130408236472718
63,é possível criar link para eu me conectar ao outro computador?,0.726025758400899,0.8437823499114202
64,Como estudar e trabalhar?,0.1503615350772594,0.8904650542812952
65,Não ter redes sociais pode ser um problema em processos seletivos para vagas de emprego/estágio?,0.7127246792817667,0.8731058572770513
66,O quanto saber alemão e francês ajuda na carreira acadêmica?,0.7404931603115205,0.8989944883452639
67,As empresas ainda contratam Júnior?,0.625750291421254,0.8320821307318385
68,Quanto tempo preciso pra elaborar um projeto de mestrado?,0.7984156254784746,0.829421497216299
69,Tem alguma outra forma de conseguir bolsa de doutorado sem ser as ofertadas pelo programa de pós graduação?,0.8095398101388259,0.8622459331201855
70,O que devo aprender para entrar no mercado de trabalho da programação?,0.09508127299326359,0.8679178699175394
71,"Para estágio, vale a pena focar em C#?",0.3455306688408444,0.8622459331201856
72,As universidades públicas aceitam de boa mestrando que trabalha?,0.6515987014830954,0.8437823499114201
73,É difícil conseguir emprego ou estágio no mestrado?,0.7022006650284702,0.8835483528910733
74,"Para os devs que fizeram ou fazem graduação em TI, como conciliaram os estudos da faculdade e o estudo por fora?",0.5444411112210636,0.8562176500885798
75,Consigo trancar a faculdade e reativar ao achar um estágio?,0.8377540668798147,0.85
76,Doutorado no exterior faz diferença para carreira de professor?,0.7604170596599655,0.8835483535055261
77,É possível combinar Economia e Programação/Data Science sem trocar de curso?,0.7309861049090755,0.8679178712162947
78,O quão importante é o histórico das disciplinas do mestrado para o doutorado?,0.7209547301287965,0.9003357428101484
79,"Ao sair de uma empresa, é errado levar alguns códigos ou algoritmos consigo para base de conhecimento pessoal?",0.7231582273635491,0.8622459331201853
80,Experiências profissionais contam no mundo acadêmico?,0.8028534966515682,0.8679178699175394
81,É possível fazer uma faculdade EAD enquanto está na europa?,0.3413269683916885,0.8622459331201856
82,Qual faculdade para seguir carreira como recrutadora? Principalmente se o foco for empresas de tecnologia e trabalho home office?,0.651181003964856,0.8268941433088978
83,Quão importante é o currículo para seleção de mestrado?,0.541494423102306,0.8932453314960858
84,Preciso de ajuda dos fotógrafos profissionais. Preciso de graduação ou não para atuar na área?,0.6951536348558524,0.85
